epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,1118.14,1.29876,0.64322,1.16389,0.98917,0.98838,0.99473,0.70915,1.15087,0.51003,1.11138,0.000170701,0.000170701,0.000170701
138,1126.5,1.31843,0.65118,1.17079,0.97937,0.99727,0.9945,0.6988,1.14069,0.51389,1.11024,0.000159699,0.000159699,0.000159699
139,1134,1.32265,0.64958,1.15442,0.98293,0.98156,0.99442,0.71098,1.13917,0.50772,1.11016,0.000148696,0.000148696,0.000148696
140,1142.17,1.28579,0.64156,1.16674,0.98432,0.97046,0.99338,0.70033,1.16474,0.51915,1.11981,0.000137694,0.000137694,0.000137694
141,1152.18,1.33483,0.69065,1.29395,0.98915,0.9925,0.99432,0.70621,1.14859,0.51178,1.10957,0.000126692,0.000126692,0.000126692
142,1159.58,1.30082,0.65794,1.24371,0.9819,0.97365,0.99281,0.70598,1.17238,0.52297,1.11879,0.00011569,0.00011569,0.00011569
143,1167.94,1.26651,0.63366,1.23289,0.96321,0.99844,0.99278,0.7027,1.14165,0.51888,1.10667,0.000104688,0.000104688,0.000104688
144,1176.14,1.27687,0.6409,1.24181,0.95385,0.99727,0.99237,0.71334,1.13861,0.51007,1.10441,9.36854e-05,9.36854e-05,9.36854e-05
145,1183.66,1.24092,0.62441,1.23893,0.98993,0.96854,0.99305,0.7116,1.14007,0.50547,1.10301,8.26832e-05,8.26832e-05,8.26832e-05
146,1192.01,1.24177,0.61454,1.24346,0.99317,0.9745,0.99379,0.70334,1.13961,0.51037,1.10239,7.1681e-05,7.1681e-05,7.1681e-05
147,1199.38,1.24157,0.6075,1.21028,0.96696,0.9931,0.9939,0.7044,1.13895,0.5107,1.10362,6.06788e-05,6.06788e-05,6.06788e-05
148,1207.69,1.2403,0.61128,1.21976,0.98781,0.9697,0.99384,0.70289,1.13648,0.51102,1.10283,4.96766e-05,4.96766e-05,4.96766e-05
149,1215.87,1.23523,0.60537,1.20068,0.99447,0.96978,0.99371,0.70554,1.13583,0.51184,1.10249,3.86744e-05,3.86744e-05,3.86744e-05
150,1223.26,1.2464,0.62068,1.2125,0.99446,0.96961,0.99362,0.70186,1.1353,0.51204,1.1021,2.76722e-05,2.76722e-05,2.76722e-05
